Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KA TWO,145.65,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Bangalore, M.G. Road[KA]",,,,
1,KA RQB,435.2,+,2,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Bangalore, M.G. Road[KA]",,,,
2,KA RSB,145.7,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Bangalore, Nandi Hills[KA]",,,,
3,KA ZO,145.275,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Bangalore, UB City[KA]",,,,
4,KA ZOI,434.05,+,3.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Bangalore, Mantri Pinnacle[KA]",,,,
5,KA IU,145.8,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Bangalore, Mantri Pinnacle[KA]",,,,
6,KA TRE,145.725,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Mysore, Chamundi Hills[KA]",,,,
7,KA CHQ,144.9,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Mullayanagiri Peak, Chikmagalur[KA]",,,,
8,KA CIQ,434.05,+,3,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Chikmagalur Town[KA],,,,
9,KA NIW,145.425,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Mangalore, Ladyhill[KA]",,,,
20,TN TCD,145.85,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Tiruchengode, Yercaud Hills[TN]",,,,
21,TN YCD,434.95,-,1.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Tiruchengode, Yercaud Hills[TN]",,,,
22,TN VCM,145.475,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Yelagiri, Swamimalai Hills[TN]",,,,
23,TN LHS,145.55,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Chennai[TN],,,,
24,TN MVR,145.675,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Chennai[TN],,,,
25,TN MRR,145.775,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Chennai[TN],,,,
26,TN RPT,145.8,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Coimbatore[TN],,,,
27,TN KOD,145.15,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Kodaikanal[TN],,,,
28,TN RYM,145.6,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Rajapalayam[TN],,,,
29,TN IDT,144.9,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Udumalpet[TN],,,,
30,TN EOD,145.375,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Erode[TN],,,,
40,KL MWW,145.675,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Malabar, Kannur[KL]",,,,
41,KL RFF,144.145,+,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Wayanad[KL],,,,
42,KL CSR,145.625,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Kozhikode (Calicut)[KL],,,,
43,KL EDJ,145.825,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Vatakara[KL],,,,
44,KL MJJ,145.325,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Malappuram, Puthanathani[KL]",,,,
45,KL IAC,144.825,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Thrissur[KL],,,,
46,KL BCM,145.65,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Palakkad, Nelliyampathi Hills[KL]",,,,
47,KL IP,145.265,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Pala, Ilaveezhapunchira[KL]",,,,
48,KL TTD,145.3,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Thodupuzha[KL],,,,
49,KL CHN,145.6,-,0.6,Tone,100,88.5,023,NN,023,Tone->Tone,FM,5,,10W,"Kochi, Kakkanad[KL]",,,,
50,KL WSV,145.55,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Alappuzha[KL],,,,
51,KL FAR,145.175,+,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Idukki[KL],,,,
52,KL DYQ,434.1,+,1.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Pune[MH],,,,
53,KL DFD,144.475,+,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Pathanamthitta[KL],,,,
54,KL CSD,145.35,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Kollam[KL],,,,
55,KL GCC,145.2,-,0.6,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Ezhimala/Kollam[KL],,,,
56,KL XT,145.6,-,0.6,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Trivandrum[KL],,,,
57,KL YSR,145.225,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,Trivandrum[KL],,,,
100,Sim 500,145,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
101,Sim 550,145.5,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
102,Sim 540,145.4,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
103,Sim 530,145.3,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
104,Sim 520,145.2,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
105,Sim 510,145.1,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
140,PMR 446,446,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
141,PMR CH 1,446.00625,,0,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
142,PMR CH 2,446.01875,,0,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
143,PMR CH 3,446.03125,,0,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
144,PMR CH 4,446.04375,,0,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
145,PMR CH 5,446.05625,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
146,PMR CH 6,446.06875,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
147,PMR CH 7,446.08125,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
148,PMR CH 8,446.09375,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
