"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude Channel From Roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Send Talker Alias"
"1","VU2TWO","145.65000","145.05000","A-Analog","Low","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0"
"2","VU2RQB","435.20000","437.20000","A-Analog","Low","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0"
"3","VU2RSB","145.70000","145.10000","A-Analog","Low","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"4","VU2ZO DMR","145.27500","144.67500","D-Digital","Mid","12.5K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","1"
"5","VU2ZOI","434.05000","437.65000","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"6","VU2IU","145.80000","145.20000","A-Analog","Mid","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"7","Mysore-TRE","145.72500","145.12500","A-Analog","Mid","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"8","Chikmagalur-CHQ","144.90000","144.30000","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"9","Chikmagalur-CIQ","434.05000","437.05000","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"10","Mangalore-NIK","145.42500","144.82500","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"20","Yercaud-CPI","145.85000","145.25000","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"21","Yercaud-POC","434.95000","433.35000","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"22","Yelagiri-VCM","145.47500","144.87500","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"23","Chennai-LHS","145.55000","144.95000","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"24","Chennai-MVR","145.67500","145.07500","A-Analog","High","25K","Off","Off","BM Disconnect","Group Call","4000","VU2AAA","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
